id_norma,norma,tipo_ato,numero_ato,ano,origem,data_publicacao_dou,assunto_ementa,status_ato,macrotema,tema_biblioteca,norma_em_revisao,processo,url_anvisalegis,hash_registro,data_primeira_coleta,data_ultima_coleta,data_ultima_alteracao
PRT-17-1966,PRT nº 17 de 1966,PRT,17,1966,MS,1966-08-23,"Dispõe sobre a manipulação, receituário industrialização e venda de produtos utilizados em homeopatia.",Vigente com alterações,Medicamentos,"Registro, pós-registro de medicamentos dinamizados",Não,Não Identificado,https://anvisalegis.datalegis.net/action/ActionDatalegis.php?acao=abrirTextoAto&tipo=POR&numeroAto=00000017&seqAto=000&valorAno=1966&orgao=ANVISA/MS&codTipo=&desItem=&desItemFim=&cod_menu=9434&cod_modulo=310&pesquisa=true,47a3ec9494601c20cd916b148f6ee1e172269272ca77e46c8003f5f3ad5f132a,2026-07-08T18:12:30-03:00,2026-07-13T08:57:02-03:00,2026-07-08T18:12:30-03:00
RES-7-1968,RES nº 7 de 1968,RES,7,1968,CNNPA,1968-05-08,Permite o emprego de óleo vegetal bromado nos aromatizantes e flavorizantes.,Revogado,Alimentos,,Não,Não Identificado,,98e31a79580601dad482b70f1c40dec39bcc67007eaebffb7f2a3b368a299824,2026-07-08T18:12:30-03:00,2026-07-13T08:57:02-03:00,2026-07-08T18:12:30-03:00
RES-10-1968,RES nº 10 de 1968,RES,10,1968,CNNPA,1968-07-22,"Considera lícito o uso de agentes tamponantes nas ""águas gasosas"" e outras bebidas carbonatadas.",Revogado,Alimentos,,Não,Não Identificado,,3ec9599489bd9128433f8ea0900940815f20f53e725621e24cd4ac76d89a8783,2026-07-08T18:12:30-03:00,2026-07-13T08:57:02-03:00,2026-07-08T18:12:30-03:00
RES-11-1968,RES nº 11 de 1968,RES,11,1968,CNNPA,1968-07-22,"Recomenda ao Laboratório Central de Controle de Drogas, Medicamentos e Alimentos, aos laboratórios e órgão que registrem alimentos, que exijam a indicação de que trata o item VII do art. 16 do código Brasileiro de Alimentos.",Revogado,Alimentos,,Não,Não Identificado,,c4cfa62eafb424261810c980de1b2aa1505ccaafc4aa97399783aa74cba94b34,2026-07-08T18:12:30-03:00,2026-07-13T08:57:02-03:00,2026-07-08T18:12:30-03:00
RES-17-1968,RES nº 17 de 1968,RES,17,1968,CNNPA,1968-07-22,"Permissão do uso do produto N.N'Dibenzoil p.p "" Diamino Estilbeno 2,2 "" Dissulfato Dissódico.",Revogado,Alimentos,,Não,Não Identificado,,fa6799b8569e388ecf87354ffa4acead7ed0740f4881ebc940a5d4cde01213ca,2026-07-08T18:12:30-03:00,2026-07-13T08:57:02-03:00,2026-07-08T18:12:30-03:00
RES-2-1968,RES nº 2 de 1968,RES,2,1968,CNNPA,1968-07-22,"Altera a relação de vegetais aromáticos permitidos como aditivantes para alimentos, aprovado pela Resolução nº 24/CNNPA, de 1966.",Revogado,Alimentos,,Não,Não Identificado,,179fd38df94e67a548dd578888362271d96df8c4b9cbf5cedd477a8dc133a66a,2026-07-08T18:12:30-03:00,2026-07-13T08:57:02-03:00,2026-07-08T18:12:30-03:00
RES-21-1968,RES nº 21 de 1968,RES,21,1968,CNNPA,1968-07-22,Permissão do emprego na tecnologia de fabricação do açúcar.,Revogado,Alimentos,,Não,Não Identificado,,e637a8c26ff7aec1635b49d273492cac9789bb250f0f4326306574b997dda464,2026-07-08T18:12:30-03:00,2026-07-13T08:57:02-03:00,2026-07-08T18:12:30-03:00
RES-5-1968,RES nº 5 de 1968,RES,5,1968,CNNPA,1968-07-22,Inclui na tabela I do Decreto 55.871/65 o Ácido Ácido Dehidroacético e sua forma solúvel o Dehidroacetato de Sódio.,Revogado,Alimentos,,Não,Não Identificado,,c487fd5cf7d10d664f678a627c0e1a83e0f41e398c390aafea5056b442164e7f,2026-07-08T18:12:30-03:00,2026-07-13T08:57:02-03:00,2026-07-08T18:12:30-03:00
RES-6-1968,RES nº 6 de 1968,RES,6,1968,CNNPA,1968-07-22,"Indefere a solicitação para usar, a título precário, o estearil fumarato de sódio em pó para pudins e mingaus.",Revogado,Alimentos,,Não,Não Identificado,,3ab79832ddc6fe5ada58734e894cf1759f6a7ad09eba3b2d4d29029619351adb,2026-07-08T18:12:30-03:00,2026-07-13T08:57:02-03:00,2026-07-08T18:12:30-03:00
RES-1-1970,RES nº 1 de 1970,RES,1,1970,CNNPA,1970-09-16,Permissão do emprego de diacetila em compostos elaborados com gorduras hidrogenadas e emulsões estabilizantes à base de gorduras vegetais hidrogenadas.,Revogado,Alimentos,,Não,Não Identificado,,3bad70d92fbab3fc330fbbe906a30e3093613a4c42f2c077d476bd58235b4d8f,2026-07-08T18:12:30-03:00,2026-07-13T08:57:02-03:00,2026-07-08T18:12:30-03:00
RES-10-1970,RES nº 10 de 1970,RES,10,1970,CNNPA,1970-09-16,Permissão de uso dos Ésteres de Sorbitana com Ácidos Graxos comestíveis.,Revogado,Alimentos,,Não,Não Identificado,,3dd4c8ee6b00dea6de9d0e13ea2a424eb1322f5c7c0ec0cbc5a742225c576d56,2026-07-08T18:12:30-03:00,2026-07-13T08:57:02-03:00,2026-07-08T18:12:30-03:00
RES-11-1970,RES nº 11 de 1970,RES,11,1970,CNNPA,1970-09-16,"Permissão do uso do corante CARAMELO, nos cereais.",Revogado,Alimentos,,Não,Não Identificado,,ce54e0d0f02dee3854ad0c3a584ba47cba4a19e2f4ab14c5147f4d827204b8d4,2026-07-08T18:12:30-03:00,2026-07-13T08:57:02-03:00,2026-07-08T18:12:30-03:00
RES-12-1970,RES nº 12 de 1970,RES,12,1970,CNNPA,1970-09-16,"XAROPES ARTIFICIAIS - 0,01% (hum centésimo por cento) no produto a ser consumido.",Revogado,Alimentos,,Não,Não Identificado,,253f7de1c5077b67868efd69e9e69032b7a94f1ef31d35dcab3beec0c397cb12,2026-07-08T18:12:30-03:00,2026-07-13T08:57:02-03:00,2026-07-08T18:12:30-03:00
RES-14-1970,RES nº 14 de 1970,RES,14,1970,CNNPA,1970-09-16,Permissão do emprego do Estearoil 2-Lactil Lactato de Sódio.,Revogado,Alimentos,,Não,Não Identificado,,6ce8b3e145c27fdee4290e75714107cadf4a44a79f33cde707c7fb609bf64705,2026-07-08T18:12:30-03:00,2026-07-13T08:57:02-03:00,2026-07-08T18:12:30-03:00
RES-15-1970,RES nº 15 de 1970,RES,15,1970,CNNPA,1970-09-16,"Nega o pedido de emprego do Bromato de Potássio, nas farinhas e nos produtos de panificação.",Revogado,Alimentos,,Não,Não Identificado,,1be4ca74fec4e55c61d7cb61d598687a6f20c7e615ef3fc91f53750de3e864e1,2026-07-08T18:12:30-03:00,2026-07-13T08:57:02-03:00,2026-07-08T18:12:30-03:00
RES-16-1970,RES nº 16 de 1970,RES,16,1970,CNNPA,1970-09-16,"Autoriza o emprego do Ácido Láctico, como conservador, na fabricação do germe destinado à conservação do camarão.",Revogado,Alimentos,,Não,Não Identificado,,336905355c60b4acc7c29a02463ecd28a2f87120b9d0d8e0a4dad398265a144a,2026-07-08T18:12:30-03:00,2026-07-13T08:57:02-03:00,2026-07-08T18:12:30-03:00
RES-18-1970,RES nº 18 de 1970,RES,18,1970,CNNPA,1970-09-16,"Indefere o pedido de inclusão do Momo e Dimetil Naftaleno, Sulonatos de Sódio.",Revogado,Alimentos,,Não,Não Identificado,,25e447e09536e24629e2112a043b839767f589d858b5d049580fa004423a8f63,2026-07-08T18:12:30-03:00,2026-07-13T08:57:02-03:00,2026-07-08T18:12:30-03:00
RES-2-1970,RES nº 2 de 1970,RES,2,1970,CNNPA,1970-09-16,"Nega o emprego do corante ""escarlate gn"", na lingüiça calabresa.",Revogado,Alimentos,,Não,Não Identificado,,f955a55739051b9be4df74bbab8876f106f424014a2b88bd7b43890d8d0ee524,2026-07-08T18:12:30-03:00,2026-07-13T08:57:02-03:00,2026-07-08T18:12:30-03:00
RES-22-1970,RES nº 22 de 1970,RES,22,1970,CNNPA,1970-09-16,"Indefere a solicitação do emprego do Ácido Acético, mesmo quimicamente puro, na elaboração de vinagres.",Revogado,Alimentos,,Não,Não Identificado,,bd9755e755797190f5fc4dcf965226a38c6c2f8850e66743bf6154c35345d6cb,2026-07-08T18:12:30-03:00,2026-07-13T08:57:02-03:00,2026-07-08T18:12:30-03:00
RES-3-1970,RES nº 3 de 1970,RES,3,1970,CNNPA,1970-09-16,Dispõe sobre a permição do emprego de CITRATO DE MONOGLICERIDIO como sinergista e solubilizante para formulação de antioxidantes a serem empregados em óleos e gorduras.,Revogado,Alimentos,,Não,Não Identificado,,0f124aaf4b2341520040caaf9884449506ed6998233b159b8e225bd2d8696cb3,2026-07-08T18:12:30-03:00,2026-07-13T08:57:02-03:00,2026-07-08T18:12:30-03:00
RES-34-1970,RES nº 34 de 1970,RES,34,1970,CNNPA,1970-09-16,"Modifica a 2a. parte - Aditivos para matérias plásticas, do Anexo I da Resolução nº 8/67 da C.P.A.A.",Revogado,Alimentos,,Não,Não Identificado,,9ab7d86ef7c7aa655158d6d96e4601c89d4abfbd6923345b6ff54697c4671b20,2026-07-08T18:12:30-03:00,2026-07-13T08:57:02-03:00,2026-07-08T18:12:30-03:00
RES-35-1970,RES nº 35 de 1970,RES,35,1970,CNNPA,1970-09-16,"Permissão de emprego do Alumínio Silicato de Sódio, como antiumectante, em sal de mesa.",Revogado,Alimentos,,Não,Não Identificado,,698c3ed920499e9ca302b710c218f5bb4b061043728736a2319a72c9b0475441,2026-07-08T18:12:30-03:00,2026-07-13T08:57:02-03:00,2026-07-08T18:12:30-03:00
